Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Image Src
,"Stealth LED VW Amarok 2016-2022 Twin 7 Luminous LED Integration Kit - 10,080 Lumens","Our Twin 7' Stealth LED Grille kit produces 10,080 raw lumens.

Includes hardware, wireless control fob and wiring loom
Our LED's use the highest quality Osram bulbs
Bespoke stainless steel mounting brackets
Impact & scratch resistant Polycarbonate lens
UV protective & hard coating applied
3D Printed Grille End-Caps
E-marked & fully road-legal
Black powder-coat finish
5-year warranty

DESIGNED BY Stealth LED

Designed using sophisticated CAD and 3D scanning software and fabricated in-house, our twin 7' LED light Kit is ingeniously engineered to mount to the grille using bespoke mounting brackets and includes a step by step installation guide.

Our Luminous Integration Kit for the VW Amarok offers a perfect blend of functionality and aesthetic appeal, perfect for both commercial and personal use. Improving visibility and safety for work sites, night time driving and camping.",,Stealth LED Lights > Integration Kits,,,,,GL175,in stock,349.99,https://www.4x4predator.co.uk/wp-content/uploads/2026/03/DSC_8657-WEB.jpg
,"Stealth LED VW Amarok 2016-2022 Twin 7 Luminous LED Integration Kit - 10,080 Lumens","Our Twin 7' Stealth LED Grille kit produces 10,080 raw lumens.

Includes hardware, wireless control fob and wiring loom
Our LED's use the highest quality Osram bulbs
Bespoke stainless steel mounting brackets
Impact & scratch resistant Polycarbonate lens
UV protective & hard coating applied
3D Printed Grille End-Caps
E-marked & fully road-legal
Black powder-coat finish
5-year warranty

DESIGNED BY Stealth LED

Designed using sophisticated CAD and 3D scanning software and fabricated in-house, our twin 7' LED light Kit is ingeniously engineered to mount to the grille using bespoke mounting brackets and includes a step by step installation guide.

Our Luminous Integration Kit for the VW Amarok offers a perfect blend of functionality and aesthetic appeal, perfect for both commercial and personal use. Improving visibility and safety for work sites, night time driving and camping.",,Stealth LED Lights > Integration Kits,,,,,GL175,in stock,349.99,https://www.4x4predator.co.uk/wp-content/uploads/2026/03/DSC_8657-WEB.jpg
,"Stealth LED VW Amarok 2016-2022 Twin 10 Flashing Luminous LED Integration Grille Kit - 7,560 Lumens","Our Twin 10' Stealth LED Grille kit produces 7,560 raw lumens.

Includes hardware, wireless control fob and wiring loom
Our LED's use the highest quality Osram bulbs
With Orange Flashing LED Function
Bespoke stainless steel mounting brackets
Step by step install guide included
Impact & scratch resistant Polycarbonate lens
UV protective & hard coating applied
Fully adjustable light position
E-marked & fully road-legal
Black powder-coat finish
5-year warranty

DESIGNED BY Stealth LED

Designed using sophisticated CAD and 3D scanning software, our Twin 10'' LED light kit has been ingeniously engineered to mount to the grille using bespoke mounting brackets and includes a step by step installation guide.

Our 10' Integration Kit for the VW Amarok offers a perfect blend of functionality and aesthetic appeal, perfect for both commercial and personal use. Improving visibility and safety for work sites and night time driving.",,Stealth LED Lights > Integration Kits,,,,,GL095F,in stock,349.99,https://www.4x4predator.co.uk/wp-content/uploads/2026/03/IMG_8400-WEBF.jpg
,"Stealth LED VW Amarok 2016-2022 Twin 10 Luminous LED Integration Grille Kit - 7,560 Lumens","Our Twin 10' Stealth LED Grille kit produces 7,560 raw lumens.

Includes hardware, wireless control fob and wiring loom
Our LED's use the highest quality Osram bulb
Bespoke stainless steel mounting brackets
Step by step install guide included
Impact & scratch resistant Polycarbonate lens
UV protective & hard coating applied
Fully adjustable light position
E-marked & fully road-legal
Black powder-coat finish
5-year warranty


DESIGNED BY Stealth LED

Designed using sophisticated CAD and 3D scanning software, our Twin 10' LED light kit has been ingeniously engineered to mount to the grille using bespoke mounting brackets and includes a step by step installation guide.

Our 10' Integration Kit for the VW Amarok offers a perfect blend of functionality and aesthetic appeal, perfect for both commercial and personal use. Improving visibility and safety for work sites and night time driving.",,Stealth LED Lights > Integration Kits,,,,,GL095,in stock,299.99,https://www.4x4predator.co.uk/wp-content/uploads/2026/03/DSC_8625-WEB.jpg
,Predator4x4 Black Roof Rails & Cross Bars Kit To Fit Land Rover Discovery Sport L550 2014+,"Our roof rails are designed to fix straight to your OEM mounting points making fitment easy. Predator4x4 roof rails also add a great aesthetic touch to your vehicle.


 	Manufactured from high quality, lightweight aluminium
 	Designed to be a direct fit for ease of install
 	Supplied as roof rails with matching roof bars for a complete kit
 	Supplied with fitting kit as pictured
 	Please note, these are aftermarket products and are not genuine Jaguar Land Rover parts",,Storage > Cross Bars,"Discovery Sport,L550 (2014+),Land Rover",,,,YHRR072,in stock,224.99,https://www.4x4predator.co.uk/wp-content/uploads/2026/02/YHRR072-01-5050-fade.jpg
,VW Caddy MK5 SWB Barn Door 2020+ Front & Rear Aero Body Kit,"Predator4x4 aero kits are the perfect way to overhaul the look of your van, with everything needed to improve the look and aerodynamics of your Caddy.


 Expertly designed kit to ensure an easy installation and a perfect fit
 Comprehensive kit to transform the overall styling of your Caddy
 Supplied in a gloss black ready to fit - no need for painting
 Made from the highest quality lightweight and durable ABS
 Predator4x4 kit includes: Front Splitter, Side Skirts, Rear Diffuser and Rear Barn Door Spoiler",,Styling > Body Kits,"Volkswagen,Caddy,MK5 (2021+)",,,,VWAK020,out of stock,304.99,https://www.4x4predator.co.uk/wp-content/uploads/2025/09/50-50-11.jpg
,Predator4x4 LED Rear Roof Aperture Boot Light to fit Land Rover Defender L663 90 | 110 | 130 20+,"Predator4x4 Roof Mounted Boot Lights are designed to fit above the Aperture of your boot, bathing the load area in a vibrant light. Manufactured from High Quality ABS, and supplied with all wiring needed, it will help with night-time visibility when retrieving goods from the boot.


&nbsp;

 	Manufactured from High Grade ABS for a durable and OEM look.
 	Connects to your original boot lights for a simple installation.
 	Supplied with 2 High Powered LED's for better visibility.
 	Fitting instructions are NOT included for the installation process.

&nbsp;",,Styling > Interior Accessories,"Defender,Land Rover,New Defender L663 2020+",,,,SMBL001,in stock,114.99,https://www.4x4predator.co.uk/wp-content/uploads/2026/02/SMFS002-02-1.jpg
,VW Transporter/Caravelle T7 2023+ Triple Pod Roof Light With LED Lights,"Introducing Predator4x4's brand new Triple LED Roof light for the Ford Transit Custom.

&nbsp;



Offering industry leading performance thanks to three powerful 6' LED lights, producing a total of 7,575 lumens, strategically positioned for maximum coverage. Our Triple LED Roof Light floods your surroundings with brilliant bright light, ensuring unparalleled visibility in even the most challenging conditions.

&nbsp;



Its tough construction and waterproof design ensure reliable performance in any environment. Whether you're navigating through rugged terrain or traversing remote trails at night, this roof light will guide the way with unmatched clarity.

&nbsp;



&nbsp;

 	Bespoke design for the Transit Custom
 	Built in Amber strobe function
 	3 x 6' 2,525 Lumen LED Lights
 	Exceptional brightness and clarity
 	Manufactured from OEM-grade materials
 	Gloss Black finish
 	Sleek and aerodynamic profile
 	Supplied with installation hardware
 	Complete with wireless control fob",,Styling > Roof Lights,"Ford,MK2 V710 (2023+),Multivan,T7 (2022+),T7 (2022+),Tourneo,Transit Custom,Transporter,Volkswagen",,,,SMRL005-1,in stock,649.99,https://www.4x4predator.co.uk/wp-content/uploads/2025/03/SMRL005-01-copy.jpg
,Land Rover Defender L663 90 110 130 2020+ - Front Splitter Kit Black Aerodynamic Splitter,"Predator4x4 front splitters are built to add both style and function to your Defender's front end. Designed for direct fitment to your bumper, they provide a more aggressive front profile while helping channel airflow for high-demand driving.

&nbsp;

 	Finished in gloss black to complement your vehicles paintwork
 	Direct and secure fitment onto the OEM bumper
 	Improves both aesthetics and aerodynamics
 	Supplied with all necessary fittings for a straightforward installation
 	Manufactured from high quality, automotive grade ABS plastic",,Styling > Front Splitters,"Defender,Land Rover,New Defender L663 2020+",,,,SMFS002,out of stock,259.99,https://www.4x4predator.co.uk/wp-content/uploads/2026/02/SMFS002-01-eBay-5050-fade.jpg
,Audi Q7 MK1 4L - Black Retractable Roller Parcel Shelf 2005-2015,"Predator4x4 retractable parcel shelves are designed for a clean look, added security, and practical storage. Built tough to match your vehicle’s style, it offers privacy and protection for your cargo, whether you're on the road or off the beaten track.

 	Direct OEM replacement, easy to fit
 	Made from high quality OEM grade materials
 	Retractable function allowing the shelf to be moved for easy access when needed
 	Restores your privacy, protecting the contents of your boot
 	Divides your boot space to help organise storage",,Accessories > Parcel Shelves,"4L (2005-2014),Audi,Q7",,,,BPRC036,in stock,84.99,https://www.4x4predator.co.uk/wp-content/uploads/2026/02/BPRC036-1.jpg
,VW Transporter T6.1 19-24 Gloss Black Front Splitter,"Predator4x4 front splitters are built to add both style and function to your Transporter's front end. Designed for direct fitment to your bumper, they provide a more aggressive front profile while helping channel airflow for high-demand driving.

 	Finished in gloss black to complement your Transporter's paintwork
 	Direct and secure fitment onto the OEM bumper
 	Improves both aesthetics and aerodynamics
 	Supplied with all necessary fittings for a straightforward installation
 	Manufactured from high quality, automotive grade ABS plastic",,Styling > Front Splitters,"Volkswagen,T6 (2016-2024),Transporter",,,,SMFS005,in stock,299.99,https://www.4x4predator.co.uk/wp-content/uploads/2026/01/SMFS005-01-5050.jpg
,"Stealth LED Mitsubishi L200 2019-2023 Twin 10 Flashing Luminous LED Integration Grille Kit - 7,560 Lumens","Our Twin 10' Stealth LED Grille kit produces 7,560 raw lumens.

 	Includes hardware, wireless control fob and wiring loom
 	Our LED’s use the highest quality Osram bulbs
 	Bespoke stainless steel mounting brackets
 	Step by step install guide included
 	Impact & scratch resistant Polycarbonate lens
 	UV protective & hard coating applied
 	Amber Flashing Beacon Function
 	Fully adjustable light position
 	E-marked & fully road-legal
 	Black powder-coat finish
 	5-year warranty



DESIGNED BY Stealth LED
Designed using sophisticated CAD and 3D scanning software, our Twin 10' LED light kit has been ingeniously engineered to mount to the grille using bespoke mounting brackets and includes a step by step installation guide.
Our 10' Integration Kit for the Mitsubishi L200 offers a perfect blend of functionality and aesthetic appeal, perfect for both commercial and personal use. Improving visibility and safety for work sites and night time driving.",,Stealth LED Lights > Integration Kits,"L200,Mitsubishi,Series 6 (2019-2023)",,,,GL091F,in stock,349.99,https://www.4x4predator.co.uk/wp-content/uploads/2026/01/DSC_8266-WEBF.jpg.jpg
,"Stealth LED Mitsubishi L200 2019-2023 Twin 4 LED Ditch Light Kit - 16,800 Lumens","Our Twin 4' Stealth LED Bonnet Kit produces 16,800 raw lumens.

 	Includes hardware, wireless control fob and wiring loom
 	Our LED's use the highest quality Osram bulbs
 	Bespoke stainless steel mounting brackets
 	Impact & scratch resistant Polycarbonate lens
 	UV protective & hard coating applied
 	Fully adjustable light position
 	Step by step install guide included
 	E-marked & fully road-legal
 	Black powder-coat finish
 	5-year warranty



DESIGNED BY Stealth LED


Designed using sophisticated CAD and 3D scanning software, our twin 4' LED Bonnet light kit is ingeniously engineered to mount to the existing bonnet brackets and does not require any cutting or drilling. The kit includes a step by step installation guide.


Stealth LED's 4' Bonnet Kit for the Mitsubishi L200 offers a perfect blend of functionality and aesthetic appeal, perfect for both commercial and personal use. Improving visibility and safety for work sites, night time driving, camping and more!",,Stealth LED Lights > Utility-Lights,"L200,Mitsubishi,Series 6 (2019-2023)",,,,GL211,in stock,299.99,https://www.4x4predator.co.uk/wp-content/uploads/2026/01/DSC_8245-WEB.jpg
,"Stealth LED Mitsubishi L200 2019-2023 Twin 6 Luminous LED Rear Integration Kit - 5,760 Lumens","Our Twin 6' Stealth LED Grille kit produces 5,760 raw lumens.

 	Includes hardware, wireless control fob and wiring loom
 	Our LED's use the highest quality Osram bulbs
 	Bespoke stainless steel mounting brackets
 	Impact & scratch resistant Polycarbonate lens
 	UV protective & hard coating applied
 	Step by step install guide included
 	E-marked & fully road-legal
 	Black powder-coat finish
 	5-year warranty



DESIGNED BY Stealth LED



Designed using sophisticated CAD and 3D scanning software and fabricated in-house, our Twin 6' LED Rear light Kit is ingeniously engineered to mount to the vehicle using bespoke mounting brackets and includes a step by step installation guide.


Our Rear Twin 6' Integration Kit for the Mitsubishi L200 offers a perfect blend of functionality and aesthetic appeal, perfect for both commercial and personal use. Improving visibility and safety for work sites, camp sites and off roading.",,Stealth LED Lights > Integration Kits,"L200,Mitsubishi,Series 6 (2019-2023)",,,,GL210,in stock,249.99,https://www.4x4predator.co.uk/wp-content/uploads/2026/01/DSC_8351-WEB.jpg
,"Stealth LED Mitsubishi L200 2019-2023 Twin 10 Luminous LED Integration Grille Kit - 7,560 Lumens","Our Twin 10' Stealth LED Grille kit produces 7,560 raw lumens.

 	Includes hardware, wireless control fob and wiring loom
 	Our LED's use the highest quality Osram bulbs
 	Bespoke stainless steel mounting brackets
 	Step by step install guide included
 	Impact & scratch resistant Polycarbonate lens
 	UV protective & hard coating applied
 	Fully adjustable light position
 	E-marked & fully road-legal
 	Black powder-coat finish
 	5-year warranty


DESIGNED BY Stealth LED


Designed using sophisticated CAD and 3D scanning software, our Twin 10' LED light kit has been ingeniously engineered to mount to the grille using bespoke mounting brackets and includes a step by step installation guide.


Our 10' Integration Kit for the Mitsubishi L200 offers a perfect blend of functionality and aesthetic appeal, perfect for both commercial and personal use. Improving visibility and safety for work sites and night time driving.",,Stealth LED Lights > Integration Kits,"L200,Mitsubishi,Series 6 (2019-2023)",,,,GL091,in stock,299.99,https://www.4x4predator.co.uk/wp-content/uploads/2026/01/DSC_8239-WEB.jpg
,Ford Ranger T8 3.2 TDCI 2019-2022 - Twin Tip Side Exit Exhaust,"Predator4x4 exhaust systems are designed in-house by our team of engineers, ensuring a perfect fit and optimal performance. A free flowing, direct replacement system, our cat back exhaust is an ideal upgrade to offer improved power or to replace a worn OEM system.

 	Engineered to improve throttle response and increased power and torque across the entire RPM range
 	A free flowing exhaust is a great way to get the best out of the Ranger's engine
 	Mandrel bent and fully TIG welded for strength and durability
 	Manufactured from high quality T304 grade stainless steel
 	Twin side exit tips designed to give an aggressive look",,Exhausts > Exhaust Systems,"Ford,Ranger T8 (2019-2022)",,,,EXES199,in stock,599.99,https://www.4x4predator.co.uk/wp-content/uploads/2026/01/EXES199-01.jpg
,Ford Ranger T8 3.2 TDCI 2019-2022 - Twin Exit Raptor Style Exhaust,"Predator4x4 exhaust systems are designed in-house by our team of engineers, ensuring a perfect fit and optimal performance. A free flowing, direct replacement system, our cat back exhaust is an ideal upgrade to offer improved power or to replace a worn OEM system.

 	Engineered to improve throttle response and increased power and torque across the entire RPM range
 	A free flowing exhaust is a great way to get the best out of the Ranger's engine
 	Mandrel bent and fully TIG welded for strength and durability
 	Manufactured from high quality T304 grade stainless steel
 	Twin exit tips designed to replicate the raptor styling",,Exhausts > Exhaust Systems,"Ford,Ranger T8 (2019-2022)",,,,EXES200,in stock,599.99,https://www.4x4predator.co.uk/wp-content/uploads/2026/01/50-50.jpg
,Mitsubishi Pajero Shogun V97 07-15 Black Bonnet Guard Protector,"Predator4x4 bonnet guards are built to endure the demands of daily usage and deflect insects, bugs, and other debris away from the windshield. Predator4x4 bonnet guard offers enhanced protection for your vehicle's paint, shielding it from potential damage while also giving is a rugged aesthetic.


 	Manufactured from OEM grade materials
 	Wide bonnet cover protects your front end
 	Adds a bold, off-road-inspired aesthetic to your vehicle
 	Protects your bonnet from scratches, debris, and minor impacts
 	No modifications required for a perfect fit to the OEM bonnet


For Reference OnlyInstallation guide",,Styling > Bonnet Guards,"Mitsubishi,Pajero/Shogun,V80/V90 (2006-2022)",,,,SNBG033,in stock,29.99,https://www.4x4predator.co.uk/wp-content/uploads/2026/01/SNBG033-01.jpg
,VW Amarok I 10-20 5x120 65.1mm - 15mm Hubcentric Wheel Spacers,"Predator4x4 wheel spacers are the perfect blend of durability, functionality, and style. With Predator4x4's new revolutionary rugged design of wheel spacer you can transform your Amarok's on-road and off-road presence and capabilities.


 	Hub-centric design ensures seamless and secure installation to your Amarok.
 	Ensures optimal stability and capability by expanding track width.
 	Manufactured from high strength Billet 6061-T6 aluminium alloy.
 	Features our new innovative & rugged design with knurled edges.
 	Rigorously tested, guaranteeing performance and reliability.",,Suspension > Spacers,"Amarok,MK1 (2010-2020),Volkswagen",,,,WSPR038,in stock,84.99,https://www.4x4predator.co.uk/wp-content/uploads/2025/12/WSPR038-04.jpg
