Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Image Src
stealth-led-vw-amarok-2016-2022-twin-7-luminous-led-integration-kit-10-080-lumens,"Stealth LED VW Amarok 2016-2022 Twin 7 Luminous LED Integration Kit - 10,080 Lumens","Our Twin 7' Stealth LED Grille kit produces 10,080 raw lumens.

Includes hardware, wireless control fob and wiring loom
Our LED's use the highest quality Osram bulbs
Bespoke stainless steel mounting brackets
Impact & scratch resistant Polycarbonate lens
UV protective & hard coating applied
3D Printed Grille End-Caps
E-marked & fully road-legal
Black powder-coat finish
5-year warranty

DESIGNED BY Stealth LED

Designed using sophisticated CAD and 3D scanning software and fabricated in-house, our twin 7' LED light Kit is ingeniously engineered to mount to the grille using bespoke mounting brackets and includes a step by step installation guide.

Our Luminous Integration Kit for the VW Amarok offers a perfect blend of functionality and aesthetic appeal, perfect for both commercial and personal use. Improving visibility and safety for work sites, night time driving and camping.",,Stealth LED Lights > Integration Kits,"Stealth LED Lights, Integration Kits",TRUE,Title,"Stealth LED VW Amarok 2016-2022 Twin 7 Luminous LED Integration Kit - 10,080 Lumens",GL175,0,shopify,0,deny,manual,349.99,,https://www.4x4predator.co.uk/wp-content/uploads/2026/03/DSC_8657-WEB.jpg
stealth-led-vw-amarok-2016-2022-twin-10-flashing-luminous-led-integration-grille-kit-7-560-lumens,"Stealth LED VW Amarok 2016-2022 Twin 10 Flashing Luminous LED Integration Grille Kit - 7,560 Lumens","Our Twin 10' Stealth LED Grille kit produces 7,560 raw lumens.

Includes hardware, wireless control fob and wiring loom
Our LED's use the highest quality Osram bulbs
With Orange Flashing LED Function
Bespoke stainless steel mounting brackets
Step by step install guide included
Impact & scratch resistant Polycarbonate lens
UV protective & hard coating applied
Fully adjustable light position
E-marked & fully road-legal
Black powder-coat finish
5-year warranty

DESIGNED BY Stealth LED

Designed using sophisticated CAD and 3D scanning software, our Twin 10'' LED light kit has been ingeniously engineered to mount to the grille using bespoke mounting brackets and includes a step by step installation guide.

Our 10' Integration Kit for the VW Amarok offers a perfect blend of functionality and aesthetic appeal, perfect for both commercial and personal use. Improving visibility and safety for work sites and night time driving.",,Stealth LED Lights > Integration Kits,"Stealth LED Lights, Integration Kits",TRUE,Title,"Stealth LED VW Amarok 2016-2022 Twin 10 Flashing Luminous LED Integration Grille Kit - 7,560 Lumens",GL095F,0,shopify,0,deny,manual,349.99,,https://www.4x4predator.co.uk/wp-content/uploads/2026/03/IMG_8400-WEBF.jpg
stealth-led-vw-amarok-2016-2022-twin-10-luminous-led-integration-grille-kit-7-560-lumens,"Stealth LED VW Amarok 2016-2022 Twin 10 Luminous LED Integration Grille Kit - 7,560 Lumens","Our Twin 10' Stealth LED Grille kit produces 7,560 raw lumens.

Includes hardware, wireless control fob and wiring loom
Our LED's use the highest quality Osram bulb
Bespoke stainless steel mounting brackets
Step by step install guide included
Impact & scratch resistant Polycarbonate lens
UV protective & hard coating applied
Fully adjustable light position
E-marked & fully road-legal
Black powder-coat finish
5-year warranty


DESIGNED BY Stealth LED

Designed using sophisticated CAD and 3D scanning software, our Twin 10' LED light kit has been ingeniously engineered to mount to the grille using bespoke mounting brackets and includes a step by step installation guide.

Our 10' Integration Kit for the VW Amarok offers a perfect blend of functionality and aesthetic appeal, perfect for both commercial and personal use. Improving visibility and safety for work sites and night time driving.",,Stealth LED Lights > Integration Kits,"Stealth LED Lights, Integration Kits",TRUE,Title,"Stealth LED VW Amarok 2016-2022 Twin 10 Luminous LED Integration Grille Kit - 7,560 Lumens",GL095,0,shopify,0,deny,manual,299.99,,https://www.4x4predator.co.uk/wp-content/uploads/2026/03/DSC_8625-WEB.jpg
predator4x4-black-roof-rails-cross-bars-kit-to-fit-land-rover-discovery-sport-l550-2014,Predator4x4 Black Roof Rails & Cross Bars Kit To Fit Land Rover Discovery Sport L550 2014+,"Our roof rails are designed to fix straight to your OEM mounting points making fitment easy. Predator4x4 roof rails also add a great aesthetic touch to your vehicle.


 	Manufactured from high quality, lightweight aluminium
 	Designed to be a direct fit for ease of install
 	Supplied as roof rails with matching roof bars for a complete kit
 	Supplied with fitting kit as pictured
 	Please note, these are aftermarket products and are not genuine Jaguar Land Rover parts",,Storage > Cross Bars,"Storage, Cross Bars",TRUE,Title,Predator4x4 Black Roof Rails & Cross Bars Kit To Fit Land Rover Discovery Sport L550 2014+,YHRR072,0,shopify,0,deny,manual,224.99,,https://www.4x4predator.co.uk/wp-content/uploads/2026/02/YHRR072-01-5050-fade.jpg
vw-caddy-mk5-swb-barn-door-2020-front-rear-aero-body-kit,VW Caddy MK5 SWB Barn Door 2020+ Front & Rear Aero Body Kit,"Predator4x4 aero kits are the perfect way to overhaul the look of your van, with everything needed to improve the look and aerodynamics of your Caddy.


 Expertly designed kit to ensure an easy installation and a perfect fit
 Comprehensive kit to transform the overall styling of your Caddy
 Supplied in a gloss black ready to fit - no need for painting
 Made from the highest quality lightweight and durable ABS
 Predator4x4 kit includes: Front Splitter, Side Skirts, Rear Diffuser and Rear Barn Door Spoiler",,Styling > Body Kits,"Styling, Body Kits",TRUE,Title,VW Caddy MK5 SWB Barn Door 2020+ Front & Rear Aero Body Kit,VWAK020,0,shopify,0,deny,manual,304.99,,https://www.4x4predator.co.uk/wp-content/uploads/2025/09/50-50-11.jpg
predator4x4-led-rear-roof-aperture-boot-light-to-fit-land-rover-defender-l663-90-110-130-20,Predator4x4 LED Rear Roof Aperture Boot Light to fit Land Rover Defender L663 90 | 110 | 130 20+,"Predator4x4 Roof Mounted Boot Lights are designed to fit above the Aperture of your boot, bathing the load area in a vibrant light. Manufactured from High Quality ABS, and supplied with all wiring needed, it will help with night-time visibility when retrieving goods from the boot.


&nbsp;

 	Manufactured from High Grade ABS for a durable and OEM look.
 	Connects to your original boot lights for a simple installation.
 	Supplied with 2 High Powered LED's for better visibility.
 	Fitting instructions are NOT included for the installation process.

&nbsp;",,Styling > Interior Accessories,"Styling, Interior Accessories",TRUE,Title,Predator4x4 LED Rear Roof Aperture Boot Light to fit Land Rover Defender L663 90 | 110 | 130 20+,SMBL001,0,shopify,0,deny,manual,114.99,,https://www.4x4predator.co.uk/wp-content/uploads/2026/02/SMFS002-02-1.jpg
vw-transporter-caravelle-t7-2023-triple-pod-roof-light-with-led-lights,VW Transporter/Caravelle T7 2023+ Triple Pod Roof Light With LED Lights,"Introducing Predator4x4's brand new Triple LED Roof light for the Ford Transit Custom.

&nbsp;



Offering industry leading performance thanks to three powerful 6' LED lights, producing a total of 7,575 lumens, strategically positioned for maximum coverage. Our Triple LED Roof Light floods your surroundings with brilliant bright light, ensuring unparalleled visibility in even the most challenging conditions.

&nbsp;



Its tough construction and waterproof design ensure reliable performance in any environment. Whether you're navigating through rugged terrain or traversing remote trails at night, this roof light will guide the way with unmatched clarity.

&nbsp;



&nbsp;

 	Bespoke design for the Transit Custom
 	Built in Amber strobe function
 	3 x 6' 2,525 Lumen LED Lights
 	Exceptional brightness and clarity
 	Manufactured from OEM-grade materials
 	Gloss Black finish
 	Sleek and aerodynamic profile
 	Supplied with installation hardware
 	Complete with wireless control fob",,Styling > Roof Lights,"Styling, Roof Lights",TRUE,Title,VW Transporter/Caravelle T7 2023+ Triple Pod Roof Light With LED Lights,SMRL005-1,0,shopify,0,deny,manual,649.99,,https://www.4x4predator.co.uk/wp-content/uploads/2025/03/SMRL005-01-copy.jpg
land-rover-defender-l663-90-110-130-2020-front-splitter-kit-black-aerodynamic-splitter,Land Rover Defender L663 90 110 130 2020+ - Front Splitter Kit Black Aerodynamic Splitter,"Predator4x4 front splitters are built to add both style and function to your Defender's front end. Designed for direct fitment to your bumper, they provide a more aggressive front profile while helping channel airflow for high-demand driving.

&nbsp;

 	Finished in gloss black to complement your vehicles paintwork
 	Direct and secure fitment onto the OEM bumper
 	Improves both aesthetics and aerodynamics
 	Supplied with all necessary fittings for a straightforward installation
 	Manufactured from high quality, automotive grade ABS plastic",,Styling > Front Splitters,"Styling, Front Splitters",TRUE,Title,Land Rover Defender L663 90 110 130 2020+ - Front Splitter Kit Black Aerodynamic Splitter,SMFS002,0,shopify,0,deny,manual,259.99,,https://www.4x4predator.co.uk/wp-content/uploads/2026/02/SMFS002-01-eBay-5050-fade.jpg
audi-q7-mk1-4l-black-retractable-roller-parcel-shelf-2005-2015,Audi Q7 MK1 4L - Black Retractable Roller Parcel Shelf 2005-2015,"Predator4x4 retractable parcel shelves are designed for a clean look, added security, and practical storage. Built tough to match your vehicle’s style, it offers privacy and protection for your cargo, whether you're on the road or off the beaten track.

 	Direct OEM replacement, easy to fit
 	Made from high quality OEM grade materials
 	Retractable function allowing the shelf to be moved for easy access when needed
 	Restores your privacy, protecting the contents of your boot
 	Divides your boot space to help organise storage",,Accessories > Parcel Shelves,"Accessories, Parcel Shelves",TRUE,Title,Audi Q7 MK1 4L - Black Retractable Roller Parcel Shelf 2005-2015,BPRC036,0,shopify,0,deny,manual,84.99,,https://www.4x4predator.co.uk/wp-content/uploads/2026/02/BPRC036-1.jpg
vw-transporter-t6-1-19-24-gloss-black-front-splitter,VW Transporter T6.1 19-24 Gloss Black Front Splitter,"Predator4x4 front splitters are built to add both style and function to your Transporter's front end. Designed for direct fitment to your bumper, they provide a more aggressive front profile while helping channel airflow for high-demand driving.

 	Finished in gloss black to complement your Transporter's paintwork
 	Direct and secure fitment onto the OEM bumper
 	Improves both aesthetics and aerodynamics
 	Supplied with all necessary fittings for a straightforward installation
 	Manufactured from high quality, automotive grade ABS plastic",,Styling > Front Splitters,"Styling, Front Splitters",TRUE,Title,VW Transporter T6.1 19-24 Gloss Black Front Splitter,SMFS005,0,shopify,0,deny,manual,299.99,,https://www.4x4predator.co.uk/wp-content/uploads/2026/01/SMFS005-01-5050.jpg
