"id","sku","title","short description","description","category","link","image_link","price","shipping","stock","Fitment"
"172767","GL175","Stealth LED VW Amarok 2016-2022 Twin 7 Luminous LED Integration Kit - 10,080 Lumens","Volkswagen Amarok | MK1 Facelift | 2016-2022 models","Our Twin 7' Stealth LED Grille kit produces 10,080 raw lumens.

Includes hardware, wireless control fob and wiring loom
Our LED's use the highest quality Osram bulbs
Bespoke stainless steel mounting brackets
Impact & scratch resistant Polycarbonate lens
UV protective & hard coating applied
3D Printed Grille End-Caps
E-marked & fully road-legal
Black powder-coat finish
5-year warranty

DESIGNED BY Stealth LED

Designed using sophisticated CAD and 3D scanning software and fabricated in-house, our twin 7' LED light Kit is ingeniously engineered to mount to the grille using bespoke mounting brackets and includes a step by step installation guide.

Our Luminous Integration Kit for the VW Amarok offers a perfect blend of functionality and aesthetic appeal, perfect for both commercial and personal use. Improving visibility and safety for work sites, night time driving and camping.","Stealth LED Lights > Integration Kits","https://www.4x4predator.co.uk/integration-kits/stealth-led-vw-amarok-2016-2022-twin-7-luminous-led-integration-kit-10080-lumens/","https://www.4x4predator.co.uk/wp-content/uploads/2026/03/DSC_8657-WEB.jpg","349.99","","in stock",""
"172762","GL095F","Stealth LED VW Amarok 2016-2022 Twin 10 Flashing Luminous LED Integration Grille Kit - 7,560 Lumens","Volkswagen Amarok | MK1 Facelift | 2016-2022 models","Our Twin 10' Stealth LED Grille kit produces 7,560 raw lumens.

Includes hardware, wireless control fob and wiring loom
Our LED's use the highest quality Osram bulbs
With Orange Flashing LED Function
Bespoke stainless steel mounting brackets
Step by step install guide included
Impact & scratch resistant Polycarbonate lens
UV protective & hard coating applied
Fully adjustable light position
E-marked & fully road-legal
Black powder-coat finish
5-year warranty

DESIGNED BY Stealth LED

Designed using sophisticated CAD and 3D scanning software, our Twin 10'' LED light kit has been ingeniously engineered to mount to the grille using bespoke mounting brackets and includes a step by step installation guide.

Our 10' Integration Kit for the VW Amarok offers a perfect blend of functionality and aesthetic appeal, perfect for both commercial and personal use. Improving visibility and safety for work sites and night time driving.","Stealth LED Lights > Integration Kits","https://www.4x4predator.co.uk/integration-kits/stealth-led-vw-amarok-2016-2022-twin-10-flashing-luminous-led-integration-grille-kit-7560-lumens/","https://www.4x4predator.co.uk/wp-content/uploads/2026/03/IMG_8400-WEBF.jpg","349.99","","in stock",""
"172754","GL095","Stealth LED VW Amarok 2016-2022 Twin 10 Luminous LED Integration Grille Kit - 7,560 Lumens","Volkswagen Amarok | MK1 Facelift | 2016-2022 models","Our Twin 10' Stealth LED Grille kit produces 7,560 raw lumens.

Includes hardware, wireless control fob and wiring loom
Our LED's use the highest quality Osram bulb
Bespoke stainless steel mounting brackets
Step by step install guide included
Impact & scratch resistant Polycarbonate lens
UV protective & hard coating applied
Fully adjustable light position
E-marked & fully road-legal
Black powder-coat finish
5-year warranty


DESIGNED BY Stealth LED

Designed using sophisticated CAD and 3D scanning software, our Twin 10' LED light kit has been ingeniously engineered to mount to the grille using bespoke mounting brackets and includes a step by step installation guide.

Our 10' Integration Kit for the VW Amarok offers a perfect blend of functionality and aesthetic appeal, perfect for both commercial and personal use. Improving visibility and safety for work sites and night time driving.","Stealth LED Lights > Integration Kits","https://www.4x4predator.co.uk/integration-kits/stealth-led-vw-amarok-2016-2022-twin-10-luminous-led-integration-grille-kit-7560-lumens/","https://www.4x4predator.co.uk/wp-content/uploads/2026/03/DSC_8625-WEB.jpg","299.99","","in stock",""
"171954","YHRR072","Predator4x4 Black Roof Rails & Cross Bars Kit To Fit Land Rover Discovery Sport L550 2014+","Land Rover Discovery Sport | L550 | 2014+","Our roof rails are designed to fix straight to your OEM mounting points making fitment easy. Predator4x4 roof rails also add a great aesthetic touch to your vehicle.


 	Manufactured from high quality, lightweight aluminium
 	Designed to be a direct fit for ease of install
 	Supplied as roof rails with matching roof bars for a complete kit
 	Supplied with fitting kit as pictured
 	Please note, these are aftermarket products and are not genuine Jaguar Land Rover parts","Storage > Cross Bars","https://www.4x4predator.co.uk/cross-bars-storage/predator4x4-black-roof-rails-cross-bars-kit-to-fit-land-rover-discovery-sport-l550-2014/","https://www.4x4predator.co.uk/wp-content/uploads/2026/02/YHRR072-01-5050-fade.jpg","224.99","","in stock","Discovery Sport,L550 (2014+),Land Rover"
"156618","VWAK020","VW Caddy MK5 SWB Barn Door 2020+ Front & Rear Aero Body Kit","Volkswagen Caddy MK5 SWB Barn Door 2020+","Predator4x4 aero kits are the perfect way to overhaul the look of your van, with everything needed to improve the look and aerodynamics of your Caddy.


 Expertly designed kit to ensure an easy installation and a perfect fit
 Comprehensive kit to transform the overall styling of your Caddy
 Supplied in a gloss black ready to fit - no need for painting
 Made from the highest quality lightweight and durable ABS
 Predator4x4 kit includes: Front Splitter, Side Skirts, Rear Diffuser and Rear Barn Door Spoiler","Styling > Body Kits","https://www.4x4predator.co.uk/body-kits/vw-caddy-mk5-swb-barn-door-2020-front-rear-aero-body-kit/","https://www.4x4predator.co.uk/wp-content/uploads/2025/09/50-50-11.jpg","304.99","oversized","out of stock","Volkswagen,Caddy,MK5 (2021+)"
"172207","SMBL001","Predator4x4 LED Rear Roof Aperture Boot Light to fit Land Rover Defender L663 90 | 110 | 130 20+","Land Rover Defender L663 90 2020+
Land Rover Defender L663 110 2020+
Land Rover Defender L663 130 2020+","Predator4x4 Roof Mounted Boot Lights are designed to fit above the Aperture of your boot, bathing the load area in a vibrant light. Manufactured from High Quality ABS, and supplied with all wiring needed, it will help with night-time visibility when retrieving goods from the boot.


&nbsp;

 	Manufactured from High Grade ABS for a durable and OEM look.
 	Connects to your original boot lights for a simple installation.
 	Supplied with 2 High Powered LED's for better visibility.
 	Fitting instructions are NOT included for the installation process.

&nbsp;","Styling > Interior Accessories","https://www.4x4predator.co.uk/interior-accessories/predator4x4-led-rear-roof-aperture-boot-light-to-fit-land-rover-defender-l663-90-110-130-20/","https://www.4x4predator.co.uk/wp-content/uploads/2026/02/SMFS002-02-1.jpg","114.99","","in stock","Defender,Land Rover,New Defender L663 2020+"
"171628","SMRL005-1","VW Transporter/Caravelle T7 2023+ Triple Pod Roof Light With LED Lights","Ford Transit Custom MK2 V710 2023+ models
Ford Tourneo Custom MK2 V710 2023+ models

VW Transporter T7 2022+
VW Caravelle T7 2022+","Introducing Predator4x4's brand new Triple LED Roof light for the Ford Transit Custom.

&nbsp;



Offering industry leading performance thanks to three powerful 6' LED lights, producing a total of 7,575 lumens, strategically positioned for maximum coverage. Our Triple LED Roof Light floods your surroundings with brilliant bright light, ensuring unparalleled visibility in even the most challenging conditions.

&nbsp;



Its tough construction and waterproof design ensure reliable performance in any environment. Whether you're navigating through rugged terrain or traversing remote trails at night, this roof light will guide the way with unmatched clarity.

&nbsp;



&nbsp;

 	Bespoke design for the Transit Custom
 	Built in Amber strobe function
 	3 x 6' 2,525 Lumen LED Lights
 	Exceptional brightness and clarity
 	Manufactured from OEM-grade materials
 	Gloss Black finish
 	Sleek and aerodynamic profile
 	Supplied with installation hardware
 	Complete with wireless control fob","Styling > Roof Lights","https://www.4x4predator.co.uk/roof-lights/vw-transporter-caravelle-t7-2023-triple-pod-roof-light-with-led-lights/","https://www.4x4predator.co.uk/wp-content/uploads/2025/03/SMRL005-01-copy.jpg","649.99","","in stock","Ford,MK2 V710 (2023+),Multivan,T7 (2022+),T7 (2022+),Tourneo,Transit Custom,Transporter,Volkswagen"
"171567","SMFS002","Land Rover Defender L663 90 110 130 2020+ - Front Splitter Kit Black Aerodynamic Splitter","Land Rover Defender 90 L663 2020+
Land Rover Defender 110 L663 2020+
Land Rover Defender 130 L663 2020+","Predator4x4 front splitters are built to add both style and function to your Defender's front end. Designed for direct fitment to your bumper, they provide a more aggressive front profile while helping channel airflow for high-demand driving.

&nbsp;

 	Finished in gloss black to complement your vehicles paintwork
 	Direct and secure fitment onto the OEM bumper
 	Improves both aesthetics and aerodynamics
 	Supplied with all necessary fittings for a straightforward installation
 	Manufactured from high quality, automotive grade ABS plastic","Styling > Front Splitters","https://www.4x4predator.co.uk/front-splitters/front-splitter-kit-black-aerodynamic-splitter-land-rover-defender-l663-90-110-130-2020/","https://www.4x4predator.co.uk/wp-content/uploads/2026/02/SMFS002-01-eBay-5050-fade.jpg","259.99","","out of stock","Defender,Land Rover,New Defender L663 2020+"
"171391","BPRC036","Audi Q7 MK1 4L - Black Retractable Roller Parcel Shelf 2005-2015","Audi Q7 | MK1 | 4L | 2005-2015 models","Predator4x4 retractable parcel shelves are designed for a clean look, added security, and practical storage. Built tough to match your vehicle’s style, it offers privacy and protection for your cargo, whether you're on the road or off the beaten track.

 	Direct OEM replacement, easy to fit
 	Made from high quality OEM grade materials
 	Retractable function allowing the shelf to be moved for easy access when needed
 	Restores your privacy, protecting the contents of your boot
 	Divides your boot space to help organise storage","Accessories > Parcel Shelves","https://www.4x4predator.co.uk/parcel-shelves/audi-q7-mk1-4l-black-retractable-roller-parcel-shelf-2005-2015/","https://www.4x4predator.co.uk/wp-content/uploads/2026/02/BPRC036-1.jpg","84.99","","in stock","4L (2005-2014),Audi,Q7"
"170654","SMFS005","VW Transporter T6.1 19-24 Gloss Black Front Splitter","Volkswagen Transporter/Caravelle T6.1 - 2019-2024 models","Predator4x4 front splitters are built to add both style and function to your Transporter's front end. Designed for direct fitment to your bumper, they provide a more aggressive front profile while helping channel airflow for high-demand driving.

 	Finished in gloss black to complement your Transporter's paintwork
 	Direct and secure fitment onto the OEM bumper
 	Improves both aesthetics and aerodynamics
 	Supplied with all necessary fittings for a straightforward installation
 	Manufactured from high quality, automotive grade ABS plastic","Styling > Front Splitters","https://www.4x4predator.co.uk/body-styling/vw-transporter-t6-1-19-24-gloss-black-front-splitter/","https://www.4x4predator.co.uk/wp-content/uploads/2026/01/SMFS005-01-5050.jpg","299.99","","in stock","Volkswagen,T6 (2016-2024),Transporter"
